Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;OI;05423963000111;Grande Porte;MG;Passa-Vinte;3147808;DTH;54
2019;6;OI;05423963000111;Grande Porte;MG;Nova Resende;3145109;DTH;512
2019;6;OI;05423963000111;Grande Porte;SC;Urupema;4218954;DTH;115
2019;6;OI;05423963000111;Grande Porte;MG;Setubinha;3165552;DTH;144
2019;6;OI;05423963000111;Grande Porte;MG;Ressaquinha;3154408;DTH;151
2019;6;OI;05423963000111;Grande Porte;ES;Dores do Rio Preto;3202009;DTH;344
2019;6;OI;05423963000111;Grande Porte;MG;Felício dos Santos;3125408;DTH;115
2019;6;OI;05423963000111;Grande Porte;PR;Santo Antônio do Caiuá;4124202;DTH;33
2019;6;OI;05423963000111;Grande Porte;TO;Nova Rosalândia;1715002;DTH;14
2019;6;OI;05423963000111;Grande Porte;PB;São Bento;2513901;DTH;34
2019;6;OI;05423963000111;Grande Porte;PR;Quarto Centenário;4120655;DTH;20
2019;6;OI;05423963000111;Grande Porte;PE;Tabira;2614600;DTH;112
2019;6;OI;05423963000111;Grande Porte;SE;Canindé de São Francisco;2801207;DTH;248
2019;6;OI;05423963000111;Grande Porte;MG;Congonhas do Norte;3118106;DTH;23
2019;6;OI;05423963000111;Grande Porte;BA;Firmino Alves;2910909;DTH;46
2019;6;OI;05423963000111;Grande Porte;PR;Paranacity;4118105;DTH;139
2019;6;OI;05423963000111;Grande Porte;PR;Florestópolis;4108007;DTH;36
2019;6;OI;05423963000111;Grande Porte;SE;Estância;2802106;DTH;842
2019;6;OI;05423963000111;Grande Porte;TO;Formoso do Araguaia;1708205;DTH;79
2019;6;OI;05423963000111;Grande Porte;MG;Água Comprida;3100708;DTH;5
2019;6;OI;05423963000111;Grande Porte;PB;Montadas;2509503;DTH;7
2019;6;OI;05423963000111;Grande Porte;PB;Monte Horebe;2509602;DTH;2
2019;6;OI;05423963000111;Grande Porte;PB;Massaranduba;2509206;DTH;6
2019;6;OI;05423963000111;Grande Porte;PA;Redenção;1506138;DTH;42
2019;6;OI;05423963000111;Grande Porte;MG;Montalvânia;3142700;DTH;79
2019;6;OI;05423963000111;Grande Porte;BA;Itajuípe;2915502;DTH;161
2019;6;OI;05423963000111;Grande Porte;SE;Amparo de São Francisco;2800100;DTH;101
2019;6;OI;05423963000111;Grande Porte;TO;Fátima;1707553;DTH;29
2019;6;OI;05423963000111;Grande Porte;RS;Cidreira;4305454;DTH;329
2019;6;OI;05423963000111;Grande Porte;MG;Nova Belém;3144672;DTH;62
2019;6;OI;05423963000111;Grande Porte;AP;Porto Grande;1600535;DTH;32
