,"car","area","uf","mun","modulo_fiscal","tipo_imovel","situacao","condicao",,,
,"MG-3109006-F6A436859BC440D3BB9F41F8968E30F5","14.1651","MG","Brumadinho","0.7083","IRU","AT","Aguardando","analise",,
,"MG-3109006-6AB07A3E72FD453F8B5BADC99F209AFF","2.5827","MG","Brumadinho","0.1291","IRU","AT","Aguardando","analise",,
,"MG-3109006-064452C2BFB54A13BD4206953FE5C173","13.5037","MG","Brumadinho","0.6752","IRU","AT","Aguardando","analise",,
,"MG-3109006-782B66BB3D4B478787FB9B25D7B3C4E6","2.0130","MG","Brumadinho","0.1006","IRU","AT","Aguardando","analise",,
,"MG-3109006-A978F8A5BBFB420DA61D40A025C61EDC","925.3946","MG","Brumadinho","46.9025","IRU","AT","Aguardando","analise",,
,"MG-3109006-EBA08A7F8D0641CA8964DED50C81CD74","2.0199","MG","Brumadinho","0.1010","IRU","AT","Aguardando","analise",,
,"MG-3109006-9804C79446634225BD2FEFD6A4BA85A7","28.2656","MG","Brumadinho","1.4100","IRU","AT","Aguardando","análise",,
,"MG-3109006-808E939CFA7D4015973471FE9D7CF624","13.4476","MG","Brumadinho","0.6724","IRU","AT","Aguardando","analise",,
,"MG-3109006-853C8D00EE4143A397BB4BF0FA2BBDF1","14.8510","MG","Brumadinho","0.7426","IRU","AT","Aguardando","analise",,
,"MG-3109006-224E6E1870104BE585DE509CB8A39EF8","0.1175","MG","Brumadinho","0.0059","IRU","AT","Aguardando","analise",,
,"MG-3109006-7479340D6F174C17B86D0CA9BD4060DB","36.7000","MG","Brumadinho","1.8350","IRU","AT","Aguardando","analise",,
,"MG-3109006-353DC21F3A7F49BBA82E4DDF9EF8A2AE","4.5945","MG","Brumadinho","0.2297","IRU","AT","Aguardando","analise",,
